Date,Product_ID,Category,Sales_Volume,Is_Promotion,Is_Holiday,Event_Name,Stock_Level,Day_of_Week,Month,Prev_Day_Sales,Prev_Week_Sales,Rolling_Mean_7
2025-01-29,PROD_100,Electronics,141,0,0,None,661,2,1,140.0,153.0,157.28571428571428
2025-01-30,PROD_100,Electronics,151,0,0,None,204,3,1,141.0,157.0,156.42857142857142
2025-01-31,PROD_100,Electronics,151,0,0,None,592,4,1,151.0,160.0,155.14285714285714
2025-02-01,PROD_100,Electronics,201,0,0,None,753,5,2,151.0,182.0,157.85714285714286
2025-02-02,PROD_100,Electronics,199,0,0,None,763,6,2,201.0,181.0,160.42857142857142
2025-02-03,PROD_100,Electronics,149,0,0,None,933,0,2,199.0,140.0,161.71428571428572
2025-02-04,PROD_100,Electronics,160,0,0,None,740,1,2,149.0,140.0,164.57142857142858
2025-02-05,PROD_100,Electronics,174,0,0,None,359,2,2,160.0,141.0,169.28571428571428
2025-02-06,PROD_100,Electronics,159,0,0,None,881,3,2,174.0,151.0,170.42857142857142
2025-02-07,PROD_100,Electronics,155,0,0,None,845,4,2,159.0,151.0,171.0
2025-02-08,PROD_100,Electronics,212,0,0,None,547,5,2,155.0,201.0,172.57142857142858
2025-02-09,PROD_100,Electronics,197,0,0,None,424,6,2,212.0,199.0,172.28571428571428
2025-02-10,PROD_100,Electronics,138,0,0,None,909,0,2,197.0,149.0,170.71428571428572
2025-02-11,PROD_100,Electronics,141,0,0,None,848,1,2,138.0,160.0,168.0
2025-02-12,PROD_100,Electronics,141,0,0,None,863,2,2,141.0,174.0,163.28571428571428
2025-02-13,PROD_100,Electronics,161,0,0,None,573,3,2,141.0,159.0,163.57142857142858
2025-02-14,PROD_100,Electronics,281,0,1,Valentines Day,696,4,2,161.0,155.0,181.57142857142858
2025-02-15,PROD_100,Electronics,209,0,0,None,709,5,2,281.0,212.0,181.14285714285714
2025-02-16,PROD_100,Electronics,167,0,0,None,280,6,2,209.0,197.0,176.85714285714286
2025-02-17,PROD_100,Electronics,142,0,0,None,201,0,2,167.0,138.0,177.42857142857142
2025-02-18,PROD_100,Electronics,150,0,0,None,329,1,2,142.0,141.0,178.71428571428572
2025-02-19,PROD_100,Electronics,155,0,0,None,929,2,2,150.0,141.0,180.71428571428572
2025-02-20,PROD_100,Electronics,159,0,0,None,402,3,2,155.0,161.0,180.42857142857142
2025-02-21,PROD_100,Electronics,140,0,0,None,600,4,2,159.0,281.0,160.28571428571428
2025-02-22,PROD_100,Electronics,191,0,0,None,710,5,2,140.0,209.0,157.71428571428572
2025-02-23,PROD_100,Electronics,200,0,0,None,400,6,2,191.0,167.0,162.42857142857142
2025-02-24,PROD_100,Electronics,169,0,0,None,602,0,2,200.0,142.0,166.28571428571428
2025-02-25,PROD_100,Electronics,160,0,0,None,710,1,2,169.0,150.0,167.71428571428572
2025-02-26,PROD_100,Electronics,141,0,0,None,839,2,2,160.0,155.0,165.71428571428572
2025-02-27,PROD_100,Electronics,156,0,0,None,840,3,2,141.0,159.0,165.28571428571428
2025-02-28,PROD_100,Electronics,143,0,0,None,614,4,2,156.0,140.0,165.71428571428572
2025-03-01,PROD_100,Electronics,207,0,0,None,462,5,3,143.0,191.0,168.0
2025-03-02,PROD_100,Electronics,199,0,0,None,201,6,3,207.0,200.0,167.85714285714286
2025-03-03,PROD_100,Electronics,155,0,0,None,453,0,3,199.0,169.0,165.85714285714286
2025-03-04,PROD_100,Electronics,154,0,0,None,208,1,3,155.0,160.0,165.0
2025-03-05,PROD_100,Electronics,159,0,0,None,858,2,3,154.0,141.0,167.57142857142858
2025-03-06,PROD_100,Electronics,158,0,0,None,786,3,3,159.0,156.0,167.85714285714286
2025-03-07,PROD_100,Electronics,164,0,0,None,619,4,3,158.0,143.0,170.85714285714286
2025-03-08,PROD_100,Electronics,158,0,0,None,672,5,3,164.0,207.0,163.85714285714286
2025-03-09,PROD_100,Electronics,185,0,0,None,537,6,3,158.0,199.0,161.85714285714286
2025-03-10,PROD_100,Electronics,153,0,0,None,360,0,3,185.0,155.0,161.57142857142858
2025-03-11,PROD_100,Electronics,204,1,0,None,476,1,3,153.0,154.0,168.71428571428572
2025-03-12,PROD_100,Electronics,165,0,0,None,394,2,3,204.0,159.0,169.57142857142858
2025-03-13,PROD_100,Electronics,144,0,0,None,232,3,3,165.0,158.0,167.57142857142858
2025-03-14,PROD_100,Electronics,174,0,0,None,221,4,3,144.0,164.0,169.0
2025-03-15,PROD_100,Electronics,186,0,0,None,429,5,3,174.0,158.0,173.0
2025-03-16,PROD_100,Electronics,182,0,0,None,476,6,3,186.0,185.0,172.57142857142858
2025-03-17,PROD_100,Electronics,160,0,0,None,483,0,3,182.0,153.0,173.57142857142858
2025-03-18,PROD_100,Electronics,148,0,0,None,858,1,3,160.0,204.0,165.57142857142858
2025-03-19,PROD_100,Electronics,157,0,0,None,391,2,3,148.0,165.0,164.42857142857142
2025-03-20,PROD_100,Electronics,150,0,0,None,380,3,3,157.0,144.0,165.28571428571428
2025-03-21,PROD_100,Electronics,159,0,0,None,899,4,3,150.0,174.0,163.14285714285714
2025-03-22,PROD_100,Electronics,162,0,0,None,360,5,3,159.0,186.0,159.71428571428572
2025-03-23,PROD_100,Electronics,168,0,0,None,992,6,3,162.0,182.0,157.71428571428572
2025-03-24,PROD_100,Electronics,140,0,0,None,838,0,3,168.0,160.0,154.85714285714286
2025-03-25,PROD_100,Electronics,165,0,0,None,585,1,3,140.0,148.0,157.28571428571428
2025-03-26,PROD_100,Electronics,156,0,0,None,881,2,3,165.0,157.0,157.14285714285714
2025-03-27,PROD_100,Electronics,169,0,0,None,607,3,3,156.0,150.0,159.85714285714286
2025-03-28,PROD_100,Electronics,157,0,0,None,884,4,3,169.0,159.0,159.57142857142858
2025-03-29,PROD_100,Electronics,229,0,0,None,711,5,3,157.0,162.0,169.14285714285714
2025-03-30,PROD_100,Electronics,181,0,0,None,291,6,3,229.0,168.0,171.0
2025-03-31,PROD_100,Electronics,309,0,1,Eid al-Fitr,999,0,3,181.0,140.0,195.14285714285714
2025-04-01,PROD_100,Electronics,151,0,0,None,774,1,4,309.0,165.0,193.14285714285714
2025-04-02,PROD_100,Electronics,146,0,0,None,349,2,4,151.0,156.0,191.71428571428572
2025-04-03,PROD_100,Electronics,147,0,0,None,643,3,4,146.0,169.0,188.57142857142858
2025-04-04,PROD_100,Electronics,162,0,0,None,463,4,4,147.0,157.0,189.28571428571428
2025-04-05,PROD_100,Electronics,191,0,0,None,973,5,4,162.0,229.0,183.85714285714286
2025-04-06,PROD_100,Electronics,189,0,0,None,549,6,4,191.0,181.0,185.0
2025-04-07,PROD_100,Electronics,165,0,0,None,468,0,4,189.0,309.0,164.42857142857142
2025-04-08,PROD_100,Electronics,160,0,0,None,305,1,4,165.0,151.0,165.71428571428572
2025-04-09,PROD_100,Electronics,145,0,0,None,803,2,4,160.0,146.0,165.57142857142858
2025-04-10,PROD_100,Electronics,160,0,0,None,545,3,4,145.0,147.0,167.42857142857142
2025-04-11,PROD_100,Electronics,242,1,0,None,840,4,4,160.0,162.0,178.85714285714286
2025-04-12,PROD_100,Electronics,189,0,0,None,950,5,4,242.0,191.0,178.57142857142858
2025-04-13,PROD_100,Electronics,174,0,0,None,388,6,4,189.0,189.0,176.42857142857142
2025-04-14,PROD_100,Electronics,157,0,0,None,646,0,4,174.0,165.0,175.28571428571428
2025-04-15,PROD_100,Electronics,140,0,0,None,285,1,4,157.0,160.0,172.42857142857142
2025-04-16,PROD_100,Electronics,207,1,0,None,419,2,4,140.0,145.0,181.28571428571428
2025-04-17,PROD_100,Electronics,246,1,0,None,811,3,4,207.0,160.0,193.57142857142858
2025-04-18,PROD_100,Electronics,157,0,0,None,933,4,4,246.0,242.0,181.42857142857142
2025-04-19,PROD_100,Electronics,191,0,0,None,379,5,4,157.0,189.0,181.71428571428572
2025-04-20,PROD_100,Electronics,344,0,1,Easter,641,6,4,191.0,174.0,206.0
2025-04-21,PROD_100,Electronics,171,0,0,None,215,0,4,344.0,157.0,208.0
2025-04-22,PROD_100,Electronics,156,0,0,None,958,1,4,171.0,140.0,210.28571428571428
2025-04-23,PROD_100,Electronics,155,0,0,None,863,2,4,156.0,207.0,202.85714285714286
2025-04-24,PROD_100,Electronics,161,0,0,None,874,3,4,155.0,246.0,190.71428571428572
2025-04-25,PROD_100,Electronics,173,0,0,None,812,4,4,161.0,157.0,193.0
2025-04-26,PROD_100,Electronics,163,0,0,None,616,5,4,173.0,191.0,189.0
2025-04-27,PROD_100,Electronics,181,0,0,None,289,6,4,163.0,344.0,165.71428571428572
2025-04-28,PROD_100,Electronics,145,0,0,None,801,0,4,181.0,171.0,162.0
2025-04-29,PROD_100,Electronics,151,0,0,None,700,1,4,145.0,156.0,161.28571428571428
2025-04-30,PROD_100,Electronics,134,0,0,None,274,2,4,151.0,155.0,158.28571428571428
2025-05-01,PROD_100,Electronics,160,0,0,None,960,3,5,134.0,161.0,158.14285714285714
2025-05-02,PROD_100,Electronics,158,0,0,None,656,4,5,160.0,173.0,156.0
2025-05-03,PROD_100,Electronics,194,0,0,None,295,5,5,158.0,163.0,160.42857142857142
2025-05-04,PROD_100,Electronics,196,0,0,None,935,6,5,194.0,181.0,162.57142857142858
2025-05-05,PROD_100,Electronics,167,0,0,None,416,0,5,196.0,145.0,165.71428571428572
2025-05-06,PROD_100,Electronics,147,0,0,None,997,1,5,167.0,151.0,165.14285714285714
2025-05-07,PROD_100,Electronics,165,0,0,None,541,2,5,147.0,134.0,169.57142857142858
2025-05-08,PROD_100,Electronics,152,0,0,None,218,3,5,165.0,160.0,168.42857142857142
2025-05-09,PROD_100,Electronics,149,0,0,None,917,4,5,152.0,158.0,167.14285714285714
2025-05-10,PROD_100,Electronics,184,0,0,None,566,5,5,149.0,194.0,165.71428571428572
2025-05-11,PROD_100,Electronics,176,0,0,None,668,6,5,184.0,196.0,162.85714285714286
2025-05-12,PROD_100,Electronics,139,0,0,None,350,0,5,176.0,167.0,158.85714285714286
2025-05-13,PROD_100,Electronics,170,0,0,None,950,1,5,139.0,147.0,162.14285714285714
2025-05-14,PROD_100,Electronics,156,0,0,None,273,2,5,170.0,165.0,160.85714285714286
2025-05-15,PROD_100,Electronics,152,0,0,None,373,3,5,156.0,152.0,160.85714285714286
2025-05-16,PROD_100,Electronics,152,0,0,None,369,4,5,152.0,149.0,161.28571428571428
2025-05-17,PROD_100,Electronics,175,0,0,None,364,5,5,152.0,184.0,160.0
2025-05-18,PROD_100,Electronics,179,0,0,None,695,6,5,175.0,176.0,160.42857142857142
2025-05-19,PROD_100,Electronics,148,0,0,None,526,0,5,179.0,139.0,161.71428571428572
2025-05-20,PROD_100,Electronics,156,0,0,None,331,1,5,148.0,170.0,159.71428571428572
2025-05-21,PROD_100,Electronics,150,0,0,None,381,2,5,156.0,156.0,158.85714285714286
2025-05-22,PROD_100,Electronics,170,0,0,None,913,3,5,150.0,152.0,161.42857142857142
2025-05-23,PROD_100,Electronics,151,0,0,None,852,4,5,170.0,152.0,161.28571428571428
2025-05-24,PROD_100,Electronics,178,0,0,None,257,5,5,151.0,175.0,161.71428571428572
2025-05-25,PROD_100,Electronics,194,0,0,None,200,6,5,178.0,179.0,163.85714285714286
2025-05-26,PROD_100,Electronics,143,0,0,None,547,0,5,194.0,148.0,163.14285714285714
2025-05-27,PROD_100,Electronics,137,0,0,None,316,1,5,143.0,156.0,160.42857142857142
2025-05-28,PROD_100,Electronics,143,0,0,None,755,2,5,137.0,150.0,159.42857142857142
2025-05-29,PROD_100,Electronics,133,0,0,None,279,3,5,143.0,170.0,154.14285714285714
2025-05-30,PROD_100,Electronics,157,0,0,None,402,4,5,133.0,151.0,155.0
2025-05-31,PROD_100,Electronics,203,0,0,None,601,5,5,157.0,178.0,158.57142857142858
2025-06-01,PROD_100,Electronics,186,0,0,None,725,6,6,203.0,194.0,157.42857142857142
2025-06-02,PROD_100,Electronics,166,0,0,None,211,0,6,186.0,143.0,160.71428571428572
2025-06-03,PROD_100,Electronics,144,0,0,None,983,1,6,166.0,137.0,161.71428571428572
2025-06-04,PROD_100,Electronics,173,0,0,None,207,2,6,144.0,143.0,166.0
2025-06-05,PROD_100,Electronics,143,0,0,None,875,3,6,173.0,133.0,167.42857142857142
2025-06-06,PROD_100,Electronics,162,0,0,None,931,4,6,143.0,157.0,168.14285714285714
2025-06-07,PROD_100,Electronics,157,0,0,None,903,5,6,162.0,203.0,161.57142857142858
2025-06-08,PROD_100,Electronics,178,0,0,None,923,6,6,157.0,186.0,160.42857142857142
2025-06-09,PROD_100,Electronics,155,0,0,None,951,0,6,178.0,166.0,158.85714285714286
2025-06-10,PROD_100,Electronics,138,0,0,None,997,1,6,155.0,144.0,158.0
2025-06-11,PROD_100,Electronics,170,0,0,None,204,2,6,138.0,173.0,157.57142857142858
2025-06-12,PROD_100,Electronics,222,1,0,None,438,3,6,170.0,143.0,168.85714285714286
2025-06-13,PROD_100,Electronics,167,0,0,None,481,4,6,222.0,162.0,169.57142857142858
2025-06-14,PROD_100,Electronics,198,0,0,None,809,5,6,167.0,157.0,175.42857142857142
2025-06-15,PROD_100,Electronics,182,0,0,None,584,6,6,198.0,178.0,176.0
2025-06-16,PROD_100,Electronics,248,1,0,None,844,0,6,182.0,155.0,189.28571428571428
2025-06-17,PROD_100,Electronics,155,0,0,None,636,1,6,248.0,138.0,191.71428571428572
2025-06-18,PROD_100,Electronics,161,0,0,None,282,2,6,155.0,170.0,190.42857142857142
2025-06-19,PROD_100,Electronics,160,0,0,None,277,3,6,161.0,222.0,181.57142857142858
2025-06-20,PROD_100,Electronics,143,0,0,None,971,4,6,160.0,167.0,178.14285714285714
2025-06-21,PROD_100,Electronics,191,0,0,None,687,5,6,143.0,198.0,177.14285714285714
2025-06-22,PROD_100,Electronics,176,0,0,None,873,6,6,191.0,182.0,176.28571428571428
2025-06-23,PROD_100,Electronics,144,0,0,None,970,0,6,176.0,248.0,161.42857142857142
2025-06-24,PROD_100,Electronics,153,0,0,None,588,1,6,144.0,155.0,161.14285714285714
2025-06-25,PROD_100,Electronics,163,0,0,None,962,2,6,153.0,161.0,161.42857142857142
2025-06-26,PROD_100,Electronics,158,0,0,None,777,3,6,163.0,160.0,161.14285714285714
2025-06-27,PROD_100,Electronics,165,0,0,None,302,4,6,158.0,143.0,164.28571428571428
2025-06-28,PROD_100,Electronics,177,0,0,None,997,5,6,165.0,191.0,162.28571428571428
2025-06-29,PROD_100,Electronics,188,0,0,None,646,6,6,177.0,176.0,164.0
2025-06-30,PROD_100,Electronics,131,0,0,None,534,0,6,188.0,144.0,162.14285714285714
2025-07-01,PROD_100,Electronics,171,0,0,None,958,1,7,131.0,153.0,164.71428571428572
2025-07-02,PROD_100,Electronics,161,0,0,None,337,2,7,171.0,163.0,164.42857142857142
2025-07-03,PROD_100,Electronics,158,0,0,None,529,3,7,161.0,158.0,164.42857142857142
2025-07-04,PROD_100,Electronics,286,0,1,Summer Peak,325,4,7,158.0,165.0,181.71428571428572
2025-07-05,PROD_100,Electronics,194,0,0,None,310,5,7,286.0,177.0,184.14285714285714
2025-07-06,PROD_100,Electronics,178,0,0,None,719,6,7,194.0,188.0,182.71428571428572
2025-07-07,PROD_100,Electronics,166,0,0,None,895,0,7,178.0,131.0,187.71428571428572
2025-07-08,PROD_100,Electronics,152,0,0,None,871,1,7,166.0,171.0,185.0
2025-07-09,PROD_100,Electronics,162,0,0,None,833,2,7,152.0,161.0,185.14285714285714
2025-07-10,PROD_100,Electronics,146,0,0,None,881,3,7,162.0,158.0,183.42857142857142
2025-07-11,PROD_100,Electronics,162,0,0,None,604,4,7,146.0,286.0,165.71428571428572
2025-07-12,PROD_100,Electronics,162,0,0,None,745,5,7,162.0,194.0,161.14285714285714
2025-07-13,PROD_100,Electronics,186,0,0,None,272,6,7,162.0,178.0,162.28571428571428
2025-07-14,PROD_100,Electronics,171,0,0,None,255,0,7,186.0,166.0,163.0
2025-07-15,PROD_100,Electronics,150,0,0,None,247,1,7,171.0,152.0,162.71428571428572
2025-07-16,PROD_100,Electronics,160,0,0,None,824,2,7,150.0,162.0,162.42857142857142
2025-07-17,PROD_100,Electronics,145,0,0,None,891,3,7,160.0,146.0,162.28571428571428
2025-07-18,PROD_100,Electronics,149,0,0,None,673,4,7,145.0,162.0,160.42857142857142
2025-07-19,PROD_100,Electronics,175,0,0,None,415,5,7,149.0,162.0,162.28571428571428
2025-07-20,PROD_100,Electronics,178,0,0,None,949,6,7,175.0,186.0,161.14285714285714
2025-07-21,PROD_100,Electronics,155,0,0,None,707,0,7,178.0,171.0,158.85714285714286
2025-07-22,PROD_100,Electronics,167,0,0,None,214,1,7,155.0,150.0,161.28571428571428
2025-07-23,PROD_100,Electronics,127,0,0,None,830,2,7,167.0,160.0,156.57142857142858
2025-07-24,PROD_100,Electronics,145,0,0,None,736,3,7,127.0,145.0,156.57142857142858
2025-07-25,PROD_100,Electronics,141,0,0,None,411,4,7,145.0,149.0,155.42857142857142
2025-07-26,PROD_100,Electronics,195,0,0,None,310,5,7,141.0,175.0,158.28571428571428
2025-07-27,PROD_100,Electronics,189,0,0,None,233,6,7,195.0,178.0,159.85714285714286
2025-07-28,PROD_100,Electronics,166,0,0,None,753,0,7,189.0,155.0,161.42857142857142
2025-07-29,PROD_100,Electronics,171,0,0,None,717,1,7,166.0,167.0,162.0
2025-07-30,PROD_100,Electronics,137,0,0,None,514,2,7,171.0,127.0,163.42857142857142
2025-07-31,PROD_100,Electronics,157,0,0,None,940,3,7,137.0,145.0,165.14285714285714
2025-08-01,PROD_100,Electronics,149,0,0,None,549,4,8,157.0,141.0,166.28571428571428
2025-08-02,PROD_100,Electronics,159,0,0,None,549,5,8,149.0,195.0,161.14285714285714
2025-08-03,PROD_100,Electronics,195,0,0,None,239,6,8,159.0,189.0,162.0
2025-08-04,PROD_100,Electronics,143,0,0,None,422,0,8,195.0,166.0,158.71428571428572
2025-08-05,PROD_100,Electronics,159,0,0,None,845,1,8,143.0,171.0,157.0
2025-08-06,PROD_100,Electronics,153,0,0,None,805,2,8,159.0,137.0,159.28571428571428
2025-08-07,PROD_100,Electronics,157,0,0,None,914,3,8,153.0,157.0,159.28571428571428
2025-08-08,PROD_100,Electronics,154,0,0,None,634,4,8,157.0,149.0,160.0
2025-08-09,PROD_100,Electronics,178,0,0,None,986,5,8,154.0,159.0,162.71428571428572
2025-08-10,PROD_100,Electronics,180,0,0,None,312,6,8,178.0,195.0,160.57142857142858
2025-08-11,PROD_100,Electronics,161,0,0,None,749,0,8,180.0,143.0,163.14285714285714
2025-08-12,PROD_100,Electronics,159,0,0,None,338,1,8,161.0,159.0,163.14285714285714
2025-08-13,PROD_100,Electronics,160,0,0,None,889,2,8,159.0,153.0,164.14285714285714
2025-08-14,PROD_100,Electronics,135,0,0,None,460,3,8,160.0,157.0,161.0
2025-08-15,PROD_100,Electronics,145,0,0,None,812,4,8,135.0,154.0,159.71428571428572
2025-08-16,PROD_100,Electronics,187,0,0,None,749,5,8,145.0,178.0,161.0
2025-08-17,PROD_100,Electronics,188,0,0,None,575,6,8,187.0,180.0,162.14285714285714
2025-08-18,PROD_100,Electronics,167,0,0,None,787,0,8,188.0,161.0,163.0
2025-08-19,PROD_100,Electronics,153,0,0,None,771,1,8,167.0,159.0,162.14285714285714
2025-08-20,PROD_100,Electronics,155,0,0,None,978,2,8,153.0,160.0,161.42857142857142
2025-08-21,PROD_100,Electronics,147,0,0,None,924,3,8,155.0,135.0,163.14285714285714
2025-08-22,PROD_100,Electronics,147,0,0,None,578,4,8,147.0,145.0,163.42857142857142
2025-08-23,PROD_100,Electronics,193,0,0,None,288,5,8,147.0,187.0,164.28571428571428
2025-08-24,PROD_100,Electronics,185,0,0,None,494,6,8,193.0,188.0,163.85714285714286
2025-08-25,PROD_100,Electronics,154,0,0,None,222,0,8,185.0,167.0,162.0
2025-08-26,PROD_100,Electronics,160,0,0,None,864,1,8,154.0,153.0,163.0
2025-08-27,PROD_100,Electronics,158,0,0,None,815,2,8,160.0,155.0,163.42857142857142
2025-08-28,PROD_100,Electronics,128,0,0,None,238,3,8,158.0,147.0,160.71428571428572
2025-08-29,PROD_100,Electronics,153,0,0,None,753,4,8,128.0,147.0,161.57142857142858
2025-08-30,PROD_100,Electronics,196,0,0,None,868,5,8,153.0,193.0,162.0
2025-08-31,PROD_100,Electronics,173,0,0,None,749,6,8,196.0,185.0,160.28571428571428
2025-09-01,PROD_100,Electronics,154,0,0,None,610,0,9,173.0,154.0,160.28571428571428
2025-09-02,PROD_100,Electronics,152,0,0,None,721,1,9,154.0,160.0,159.14285714285714
2025-09-03,PROD_100,Electronics,147,0,0,None,317,2,9,152.0,158.0,157.57142857142858
2025-09-04,PROD_100,Electronics,149,0,0,None,356,3,9,147.0,128.0,160.57142857142858
2025-09-05,PROD_100,Electronics,142,0,0,None,356,4,9,149.0,153.0,159.0
2025-09-06,PROD_100,Electronics,199,0,0,None,993,5,9,142.0,196.0,159.42857142857142
2025-09-07,PROD_100,Electronics,201,0,0,None,859,6,9,199.0,173.0,163.42857142857142
2025-09-08,PROD_100,Electronics,153,0,0,None,911,0,9,201.0,154.0,163.28571428571428
2025-09-09,PROD_100,Electronics,160,0,0,None,545,1,9,153.0,152.0,164.42857142857142
2025-09-10,PROD_100,Electronics,154,0,0,None,409,2,9,160.0,147.0,165.42857142857142
2025-09-11,PROD_100,Electronics,140,0,0,None,822,3,9,154.0,149.0,164.14285714285714
2025-09-12,PROD_100,Electronics,143,0,0,None,523,4,9,140.0,142.0,164.28571428571428
2025-09-13,PROD_100,Electronics,178,0,0,None,326,5,9,143.0,199.0,161.28571428571428
2025-09-14,PROD_100,Electronics,174,0,0,None,250,6,9,178.0,201.0,157.42857142857142
2025-09-15,PROD_100,Electronics,150,0,0,None,495,0,9,174.0,153.0,157.0
2025-09-16,PROD_100,Electronics,145,0,0,None,619,1,9,150.0,160.0,154.85714285714286
2025-09-17,PROD_100,Electronics,147,0,0,None,200,2,9,145.0,154.0,153.85714285714286
2025-09-18,PROD_100,Electronics,177,0,0,None,860,3,9,147.0,140.0,159.14285714285714
2025-09-19,PROD_100,Electronics,157,0,0,None,508,4,9,177.0,143.0,161.14285714285714
2025-09-20,PROD_100,Electronics,184,0,0,None,774,5,9,157.0,178.0,162.0
2025-09-21,PROD_100,Electronics,204,0,0,None,274,6,9,184.0,174.0,166.28571428571428
2025-09-22,PROD_100,Electronics,136,0,0,None,546,0,9,204.0,150.0,164.28571428571428
2025-09-23,PROD_100,Electronics,124,0,0,None,962,1,9,136.0,145.0,161.28571428571428
2025-09-24,PROD_100,Electronics,151,0,0,None,909,2,9,124.0,147.0,161.85714285714286
2025-09-25,PROD_100,Electronics,210,1,0,None,376,3,9,151.0,177.0,166.57142857142858
2025-09-26,PROD_100,Electronics,142,0,0,None,668,4,9,210.0,157.0,164.42857142857142
2025-09-27,PROD_100,Electronics,180,0,0,None,283,5,9,142.0,184.0,163.85714285714286
2025-09-28,PROD_100,Electronics,172,0,0,None,900,6,9,180.0,204.0,159.28571428571428
2025-09-29,PROD_100,Electronics,150,0,0,None,526,0,9,172.0,136.0,161.28571428571428
2025-09-30,PROD_100,Electronics,152,0,0,None,922,1,9,150.0,124.0,165.28571428571428
2025-10-01,PROD_100,Electronics,151,0,0,None,869,2,10,152.0,151.0,165.28571428571428
2025-10-02,PROD_100,Electronics,151,0,0,None,623,3,10,151.0,210.0,156.85714285714286
2025-10-03,PROD_100,Electronics,146,0,0,None,968,4,10,151.0,142.0,157.42857142857142
2025-10-04,PROD_100,Electronics,209,0,0,None,312,5,10,146.0,180.0,161.57142857142858
2025-10-05,PROD_100,Electronics,208,0,0,None,843,6,10,209.0,172.0,166.71428571428572
2025-10-06,PROD_100,Electronics,137,0,0,None,361,0,10,208.0,150.0,164.85714285714286
2025-10-07,PROD_100,Electronics,144,0,0,None,286,1,10,137.0,152.0,163.71428571428572
2025-10-08,PROD_100,Electronics,164,0,0,None,642,2,10,144.0,151.0,165.57142857142858
2025-10-09,PROD_100,Electronics,130,0,0,None,527,3,10,164.0,151.0,162.57142857142858
2025-10-10,PROD_100,Electronics,146,0,0,None,808,4,10,130.0,146.0,162.57142857142858
2025-10-11,PROD_100,Electronics,203,0,0,None,617,5,10,146.0,209.0,161.71428571428572
2025-10-12,PROD_100,Electronics,181,0,0,None,690,6,10,203.0,208.0,157.85714285714286
2025-10-13,PROD_100,Electronics,156,0,0,None,699,0,10,181.0,137.0,160.57142857142858
2025-10-14,PROD_100,Electronics,145,0,0,None,206,1,10,156.0,144.0,160.71428571428572
2025-10-15,PROD_100,Electronics,142,0,0,None,872,2,10,145.0,164.0,157.57142857142858
2025-10-16,PROD_100,Electronics,135,0,0,None,713,3,10,142.0,130.0,158.28571428571428
2025-10-17,PROD_100,Electronics,169,0,0,None,908,4,10,135.0,146.0,161.57142857142858
2025-10-18,PROD_100,Electronics,186,0,0,None,318,5,10,169.0,203.0,159.14285714285714
